Kernel Name,Optimization Level,Wilcoxon Test p-value,Faster Kernel
Axpy,O0,1.97e-09,Automatically Modified
Dot Product,O0,4.43e-15,Automatically Modified
Convolution 1D,O0,1.78e-17,Automatically Modified
Matrix Multiplication,O0,8.33e-18,Automatically Modified
Auto-covariance,O0,3.81e-17,Automatically Modified
Hotspot,O0,2.34e-16,Automatically Modified
"NN, Forward Phase",O0,1.78e-17,Automatically Modified
"NN, Backpropagation",O0,0.0177,-
BFS,O0,5.7e-18,Automatically Modified
Axpy,O1,4.74e-14,Automatically Modified
Dot Product,O1,0.086,-
Convolution 1D,O1,7.28e-11,Manually Modified
Matrix Multiplication,O1,4.93e-16,Automatically Modified
Auto-covariance,O1,1.13e-15,Automatically Modified
Hotspot,O1,2.25e-09,Automatically Modified
"NN, Forward Phase",O1,0.0894,-
"NN, Backpropagation",O1,3.47e-17,Manually Modified
BFS,O1,2.07e-16,Manually Modified
