Name,Signature,GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Time,DeviceArraySize,IntegerValue
concat,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Integer;],176,1,1,32,1,1,0.058272,[800;400;400;],[400;]
conv2d,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Integer;class java.lang.Integer;class java.lang.Integer;class java.lang.Integer;class java.lang.Integer;class java.lang.Integer;],88,88,1,8,8,1,0.388352,[400;800;1152;],[10;10;8;3;16;2;]
conv2d,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Integer;class java.lang.Integer;class java.lang.Integer;class java.lang.Integer;class java.lang.Integer;class java.lang.Integer;],88,88,1,8,8,1,0.483968,[400;800;1152;],[10;10;8;3;16;2;]
mean_pooling,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Integer;class java.lang.Integer;class java.lang.Integer;class java.lang.Integer;class java.lang.Integer;],44,44,44,4,4,4,0.173632,[800;20000;],[50;50;8;5;5;]
mean_pooling,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Integer;class java.lang.Integer;class java.lang.Integer;class java.lang.Integer;class java.lang.Integer;],44,44,44,4,4,4,0.170144,[800;20000;],[50;50;8;5;5;]
conv2d,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Integer;class java.lang.Integer;class java.lang.Integer;class java.lang.Integer;class java.lang.Integer;class java.lang.Integer;],88,88,1,8,8,1,0.887488,[20000;10000;72;],[100;100;1;3;8;2;]
conv2d,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Integer;class java.lang.Integer;class java.lang.Integer;class java.lang.Integer;class java.lang.Integer;class java.lang.Integer;],88,88,1,8,8,1,0.088384,[20000;10000;72;],[100;100;1;3;8;2;]
dot_product,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Integer;],176,1,1,32,1,1,0.06048,[800;800;1;],[800;]
square,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Integer;],176,1,1,32,1,1,0.570752,[100;100;],[100;]
reduce,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Integer;],176,1,1,32,1,1,0.040032,[100;100;1;],[100;]
square,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Integer;],176,1,1,32,1,1,0.03824,[100;100;],[100;]
concat,[class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class com.nvidia.grcuda.runtime.array.DeviceArray;class java.lang.Integer;],176,1,1,32,1,1,0.200288,[80000;40000;40000;],[40000;]
